"name","dept","area","count","adjustedcount","year"
Aditi Majumder,University of California - Irvine,vis,1.0,0.333333333333,2006
Han-Wei Shen,Ohio State University,vis,1.0,0.333333333333,2010
Daniel J. Wigdor,University of Toronto,vis,1.0,0.142857142857,2016
Michael Brudno,University of Toronto,vis,1.0,0.142857142857,2016
Daniel F. Keefe,University of Minnesota,vis,2.0,1.0,2016
Carlos Eduardo Scheidegger,University of Arizona,vis,1.0,0.333333333333,2006
Cláudio T. Silva,New York University,vis,2.0,0.583333333333,2006
Bei Wang,University of Utah,vis,1.0,0.125,2016
Valerio Pascucci,University of Utah,vis,1.0,0.125,2016
Hongfeng Yu,University of Nebraska,vis,1.0,0.333333333333,2014
Kwan-Liu Ma,University of California - Davis,vis,3.0,0.708333333333,2014
Denis Gracanin,Virginia Tech,vis,1.0,0.166666666667,2010
David H. Laidlaw,Brown University,vis,3.0,1.0,2009
Haipeng Cai,Washington State University,vis,1.0,0.25,2012
David H. Laidlaw,Brown University,vis,2.0,0.45,2012
John T. Stasko,Georgia Institute of Technology,vis,1.0,0.333333333333,2009
Torsten W. Kuhlen,RWTH Aachen,vis,4.0,0.97619047619,2016
Vijay Natarajan,IISc Bangalore,vis,1.0,0.5,2011
Bernd Hamann,University of California - Davis,vis,1.0,0.25,2008
Valerio Pascucci,University of Utah,vis,1.0,0.25,2008
Alex Endert,Georgia Institute of Technology,vis,3.0,0.666666666667,2017
Miriah D. Meyer,University of Utah,vis,1.0,0.2,2008
Ross T. Whitaker,University of Utah,vis,1.0,0.2,2008
Robert M. Kirby,University of Utah,vis,1.0,0.2,2008
Hanspeter Pfister,Harvard University,vis,1.0,0.2,2008
Carlos Scheidegger,University of Arizona,vis,2.0,0.45,2017
Ben Shneiderman,University of Maryland - College Park,vis,1.0,0.125,2009
Neil Spring,University of Maryland - College Park,vis,1.0,0.125,2009
Tamara Munzner,University of British Columbia,vis,2.0,0.833333333333,2006
Torsten Kuhlen,RWTH Aachen,vis,1.0,0.142857142857,2008
John T. Stasko,Georgia Institute of Technology,vis,3.0,0.783333333333,2008
Gregory D. Abowd,Georgia Institute of Technology,vis,1.0,0.25,2008
Gordon L. Kindlmann,University of Chicago,vis,1.0,0.5,2013
Rahul C. Basole,Georgia Institute of Technology,vis,1.0,0.2,2013
John T. Stasko,Georgia Institute of Technology,vis,1.0,0.2,2013
Bernd Hamann,University of California - Davis,vis,1.0,0.2,2010
Yvonne Jansen,DIKU,vis,2.0,0.5,2017
Kasper Hornbæk,DIKU,vis,1.0,0.166666666667,2017
John C. Hart,University of Illinois at Urbana-Champaign,vis,1.0,0.25,2008
Jeffrey Heer,University of Washington,vis,1.0,0.25,2008
Maneesh Agrawala,Stanford University,vis,1.0,0.25,2008
Alexander Lex,University of Utah,vis,2.0,0.4,2011
Kwan-Liu Ma,University of California - Davis,vis,1.0,0.5,2007
Chaoli Wang,University of Notre Dame,vis,1.0,0.333333333333,2008
Hongfeng Yu,University of Nebraska,vis,1.0,0.333333333333,2008
Kwan-Liu Ma,University of California - Davis,vis,3.0,1.33333333333,2008
David Feng,University of Sydney,vis,1.0,0.25,2010
Yvonne Jansen,DIKU,vis,1.0,0.333333333333,2014
Sheelagh Carpendale,University of Calgary,vis,1.0,0.333333333333,2014
Vijay Natarajan,IISc Bangalore,vis,2.0,0.833333333333,2013
John T. Stasko,Georgia Institute of Technology,vis,2.0,0.75,2012
Han-Wei Shen,Ohio State University,vis,1.0,0.5,2008
Enrico Bertini,New York University,vis,5.0,1.09444444444,2014
Valerio Pascucci,University of Utah,vis,1.0,0.25,2009
David H. Laidlaw,Brown University,vis,1.0,0.333333333333,2017
Jeffrey Heer,University of Washington,vis,2.0,0.666666666667,2011
Katherine E. Isaacs,University of Arizona,vis,1.0,0.142857142857,2014
Bernd Hamann,University of California - Davis,vis,1.0,0.142857142857,2014
Carey Williamson,University of Calgary,vis,1.0,0.25,2010
M. Sheelagh T. Carpendale,University of Calgary,vis,2.0,0.5,2010
Raghu Machiraju,Ohio State University,vis,1.0,0.333333333333,2008
Anthony Steed,University College London,vis,1.0,0.5,2014
Xianfeng Gu,Stony Brook University,vis,1.0,0.25,2017
Arie E. Kaufman,Stony Brook University,vis,2.0,0.5,2017
Xi Chen,Columbia University,vis,1.0,0.111111111111,2014
Richard Bonneau,New York University,vis,1.0,0.111111111111,2014
Cláudio T. Silva,New York University,vis,3.0,0.422222222222,2014
Tamara Munzner,University of British Columbia,vis,2.0,0.583333333333,2012
Pat Hanrahan,Stanford University,vis,2.0,0.47619047619,2007
Klaus Mueller,Stony Brook University,vis,1.0,0.333333333333,2011
Penny Rheingans,University of Maryland - Baltimore County,vis,1.0,0.333333333333,2007
Hans-Peter Seidel,Max Planck Institute,vis,1.0,0.5,2008
Kwan-Liu Ma,University of California - Davis,vis,2.0,0.458333333333,2017
Ming C. Lin,University of North Carolina,vis,1.0,0.25,2013
Daniel F. Keefe,University of Minnesota,vis,2.0,0.45,2013
Sheelagh Carpendale,University of Calgary,vis,2.0,0.45,2016
Michael Gleicher,University of Wisconsin - Madison,vis,3.0,1.5,2013
Amitabh Varshney,University of Maryland - College Park,vis,1.0,0.333333333333,2012
Arie E. Kaufman,Stony Brook University,vis,2.0,0.833333333333,2016
Xianfeng Gu,Stony Brook University,vis,1.0,0.2,2010
Arie E. Kaufman,Stony Brook University,vis,1.0,0.2,2010
Christopher Mears,Monash University,vis,1.0,0.166666666667,2017
Tim Dwyer,Monash University,vis,4.0,0.783333333333,2017
Maria Garcia de la Banda,Monash University,vis,1.0,0.166666666667,2017
Guido Tack,Monash University,vis,1.0,0.166666666667,2017
Mark Wallace,Monash University,vis,1.0,0.166666666667,2017
Jeffrey Heer,University of Washington,vis,2.0,0.833333333333,2007
David H. Laidlaw,Brown University,vis,2.0,0.7,2006
Ross T. Whitaker,University of Utah,vis,1.0,0.333333333333,2013
Mahsa Mirzargar,University of Miami,vis,1.0,0.333333333333,2013
Robert M. Kirby,University of Utah,vis,1.0,0.333333333333,2013
Torsten Kuhlen,RWTH Aachen,vis,1.0,0.2,2013
Han-Wei Shen,Ohio State University,vis,3.0,1.5,2006
Gordon L. Kindlmann,University of Chicago,vis,1.0,0.5,2014
Carlos Eduardo Scheidegger,University of Arizona,vis,1.0,0.5,2014
Cláudio T. Silva,New York University,vis,3.0,0.916666666667,2010
Ben Shneiderman,University of Maryland - College Park,vis,2.0,0.45,2013
Wesley Willett,University of Calgary,vis,2.0,0.4,2013
Björn Hartmann,University of California - Berkeley,vis,1.0,0.2,2013
Maneesh Agrawala,Stanford University,vis,1.0,0.2,2013
Xavier Tricoche,Purdue University,vis,2.0,0.45,2007
Torsten Kuhlen,RWTH Aachen,vis,1.0,0.5,2012
Denis Gracanin,Virginia Tech,vis,1.0,0.25,2009
Miriah D. Meyer,University of Utah,vis,1.0,0.25,2010
Tamara Munzner,University of British Columbia,vis,1.0,0.25,2010
Hanspeter Pfister,Harvard University,vis,3.0,0.561111111111,2010
Hans-Peter Seidel,Max Planck Institute,vis,1.0,0.333333333333,2016
Michael S. Horn,Northwestern University,vis,1.0,0.166666666667,2012
Kim Marriott,Monash University,vis,1.0,0.25,2012
Michael Wybrow,Monash University,vis,1.0,0.25,2012
Cagatay Goncu,Monash University,vis,1.0,0.25,2012
Wesley Willett,University of Calgary,vis,1.0,0.333333333333,2007
Maneesh Agrawala,Stanford University,vis,1.0,0.333333333333,2007
Fei Wang,University of Connecticut,vis,1.0,0.1,2017
Doug A. Bowman,Virginia Tech,vis,2.0,0.5,2012
Pat Hanrahan,Stanford University,vis,1.0,0.333333333333,2010
Aditi Majumder,University of California - Irvine,vis,3.0,1.16666666667,2010
Nassir Navab,TU Munich,vis,1.0,0.25,2014
Miriah D. Meyer,University of Utah,vis,1.0,0.333333333333,2012
Michelle Borkin,Northeastern University,vis,1.0,0.125,2011
Krzysztof Gajos,Harvard University,vis,1.0,0.125,2011
Hanspeter Pfister,Harvard University,vis,1.0,0.125,2011
Tim Dwyer,Monash University,vis,1.0,0.142857142857,2009
Chris North,Virginia Tech,vis,1.0,0.142857142857,2009
Han-Wei Shen,Ohio State University,vis,3.0,1.16666666667,2016
Ming C. Lin,University of North Carolina,vis,1.0,0.2,2015
Dinesh Manocha,University of North Carolina,vis,1.0,0.2,2015
Benjamin Watson,North Carolina State University,vis,1.0,0.2,2010
Carlos Eduardo Scheidegger,University of Arizona,vis,1.0,0.2,2009
Robert M. Kirby,University of Utah,vis,1.0,0.2,2009
Cláudio T. Silva,New York University,vis,2.0,0.4,2009
Han-Wei Shen,Ohio State University,vis,2.0,0.75,2013
Sheelagh Carpendale,University of Calgary,vis,2.0,0.45,2012
M. Sheelagh T. Carpendale,University of Calgary,vis,2.0,0.583333333333,2008
Cláudio T. Silva,New York University,vis,2.0,0.625,2017
Paul Rosen,University of South Florida,vis,1.0,0.25,2010
Voicu Popescu,Purdue University,vis,1.0,0.25,2010
Christoph M. Hoffmann,Purdue University,vis,1.0,0.25,2010
Amitabh Varshney,University of Maryland - College Park,vis,1.0,0.25,2014
Michael Gleicher,University of Wisconsin - Madison,vis,1.0,0.333333333333,2012
Haesun Park,Georgia Institute of Technology,vis,1.0,0.25,2013
Ben Shneiderman,University of Maryland - College Park,vis,2.0,1.0,2006
John T. Stasko,Georgia Institute of Technology,vis,1.0,0.333333333333,2017
Pat Hanrahan,Stanford University,vis,1.0,0.333333333333,2012
Renato Pajarola,University of Zurich,vis,2.0,0.444444444444,2011
Gordon L. Kindlmann,University of Chicago,vis,1.0,0.5,2006
Andrew Robb,Clemson University,vis,1.0,0.142857142857,2016
Benjamin Lok,University of Florida,vis,1.0,0.142857142857,2016
Jeffrey Heer,University of Washington,vis,2.0,0.75,2017
David R. Karger,Massachusetts Institute of Technology,vis,1.0,0.333333333333,2013
Robert C. Miller,Massachusetts Institute of Technology,vis,1.0,0.333333333333,2013
Penny Rheingans,University of Maryland - Baltimore County,vis,1.0,0.333333333333,2012
Marie desJardins,University of Maryland - Baltimore County,vis,1.0,0.333333333333,2012
Chris North,Virginia Tech,vis,1.0,0.25,2016
Naren Ramakrishnan,Virginia Tech,vis,1.0,0.25,2016
M. Sheelagh T. Carpendale,University of Calgary,vis,2.0,0.666666666667,2009
Daehyun Kim,Washington State University,vis,1.0,0.0714285714286,2009
Kwan-Liu Ma,University of California - Davis,vis,5.0,2.08333333333,2012
Daniel Angus,University of Queensland,vis,1.0,0.333333333333,2016
Janet Wiles,University of Queensland,vis,1.0,0.333333333333,2016
Haesun Park,Georgia Institute of Technology,vis,1.0,0.25,2016
Alex Endert,Georgia Institute of Technology,vis,2.0,0.5,2016
Charles D. Hansen,University of Utah,vis,1.0,0.25,2007
Chaoli Wang,University of Notre Dame,vis,1.0,0.2,2016
Herbert Edelsbrunner,IST Austria,vis,1.0,0.333333333333,2010
Amitabh Varshney,University of Maryland - College Park,vis,1.0,0.5,2011
