"author","coauthor","year","area"
Michael J. Brooks,Anton van den Hengel,2005,vision
Michael J. Brooks,Chunhua Shen,2005,vision
Michael J. Brooks,Yanhua Li,1999,vision
Michael J. Brooks,Anton van den Hengel,2001,vision
Michael J. Brooks,Lourdes de Agapito,1996,vision
Michael J. Brooks,Du Q. Huynh,1996,vision
Michael J. Brooks,Lourdes de Agapito,1998,vision
Michael J. Brooks,Du Q. Huynh,1998,vision
Michael J. Brooks,Anton van den Hengel,1998,vision
Volkan Isler,Sanjeev Khanna,2004,act
Volkan Isler,Sampath Kannan,2004,act
Volkan Isler,Konstantinos Daniilidis,2001,vision
Volkan Isler,Kostas Daniilidis,2004,robotics
Volkan Isler,Sampath Kannan,2004,robotics
Volkan Isler,Jianbo Shi,2004,mlmining
Volkan Isler,Alexei A. Efros,2004,mlmining
Volkan Isler,Jeff Trinkle,2010,robotics
Volkan Isler,Selma Sabanovic,2010,robotics
Volkan Isler,Sanmay Das,2010,robotics
Volkan Isler,Vijay Kumar 0001,2011,robotics
Volkan Isler,Shankar Sastry,2005,robotics
Volkan Isler,Camillo J. Taylor,2003,robotics
Volkan Isler,Kostas Daniilidis,2003,robotics
Volkan Isler,Sanjeev Khanna,2003,robotics
Volkan Isler,Sampath Kannan,2003,robotics
A. Robert Calderbank,Martin Strauss,2005,act
A. Robert Calderbank,S. Muthukrishnan,2005,act
Thomas G. Moher,Andrew E. Johnson,1999,chi
Thomas G. Moher,Andrew E. Johnson,2001,vis
Thomas G. Moher,Andrew E. Johnson,1999,vis
Brian Neil Levine,Mark D. Corner,2008,mobile
Brian Neil Levine,Donald F. Towsley,2008,mobile
Brian Neil Levine,Arun Venkataramani,2008,mobile
Brian Neil Levine,Nilanjan Banerjee,2008,mobile
Brian Neil Levine,Aruna Balasubramanian,2008,mobile
Brian Neil Levine,Erik G. Learned-Miller,2011,sec
Brian Neil Levine,Gerome Miklau,2007,mod
Brian Neil Levine,David D. Jensen,2006,comm
Brian Neil Levine,Jon Crowcroft,2000,comm
Brian Neil Levine,James F. Kurose,2000,comm
Brian Neil Levine,Donald F. Towsley,2007,mobile
Brian Neil Levine,Jim Kurose,2007,mobile
Brian Neil Levine,Mark D. Corner,2007,comm
Brian Neil Levine,Nilanjan Banerjee,2007,comm
Brian Neil Levine,Arun Venkataramani,2007,comm
Brian Neil Levine,Aruna Balasubramanian,2007,comm
Brian Neil Levine,Clay Shields,2000,sec
Brian Neil Levine,David D. Jensen,2005,mlmining
Brian Neil Levine,John Zahorjan,2008,comm
Brian Neil Levine,Arun Venkataramani,2008,comm
Brian Neil Levine,Aruna Balasubramanian,2008,comm
Poorvi L. Vora,Ronald L. Rivest,2010,sec
Poorvi L. Vora,Alan T. Sherman,2010,sec
Pavol Hell,David G. Kirkpatrick,1978,act
Niels da Vitoria Lobo,George Bebis,1995,vision
Niels da Vitoria Lobo,George Bebis,1998,vision
Niels da Vitoria Lobo,Mubarak Shah,1998,vision
Niels da Vitoria Lobo,Mubarak Shah,2004,vision
Niels da Vitoria Lobo,Mubarak Shah,2005,vision
Niels da Vitoria Lobo,Mubarak Shah,2011,robotics
Ling Liu,Li Xiong 0001,2005,ir
Ling Liu,James Caverlee,2006,ir
Ling Liu,Lakshmish Ramaswamy,2004,ir
Ling Liu,Mustaque Ahamad,2006,ops
Ling Liu,Calton Pu,2015,hpc
Xinyuan Wang,Dongyan Xu,2007,sec
Xinyuan Wang,Xuxian Jiang,2007,sec
Xinyuan Wang,Douglas S. Reeves,2007,comm
Xinyuan Wang,Peng Ning,2007,comm
Xinyuan Wang,Douglas S. Reeves,2003,sec
José Nelson Amaral,Lori L. Pollock,2000,hpc
José Nelson Amaral,Gagan Agrawal,2000,hpc
José Nelson Amaral,Robert C. Holte,2006,ai
Thomas G. Dietterich,Xiaoli Z. Fern,2014,nlp
Thomas G. Dietterich,Janardhan Rao Doppa,2014,nlp
Thomas G. Dietterich,Prasad Tadepalli,2014,nlp
Thomas G. Dietterich,Sinisa Todorovic,2009,vision
Thomas G. Dietterich,Linda G. Shapiro,2009,vision
Thomas G. Dietterich,Prasad Tadepalli,2008,mlmining
Thomas G. Dietterich,Daniel R. Sheldon,2011,mlmining
Thomas G. Dietterich,Xiaoli Fern,2011,mlmining
Thomas G. Dietterich,Janardhan Rao Doppa,2011,mlmining
Thomas G. Dietterich,Prasad Tadepalli,2011,mlmining
Thomas G. Dietterich,Prasad Tadepalli,1997,mlmining
Thomas G. Dietterich,Daniel Sheldon,2014,mlmining
Thomas G. Dietterich,Tomás Lozano-Pérez,1993,mlmining
Thomas G. Dietterich,Richard H. Lathrop,1993,mlmining
Thomas G. Dietterich,Yishay Mansour,1996,mlmining
Thomas G. Dietterich,Rebecca A. Hutchinson,2011,ai
Thomas G. Dietterich,Linda G. Shapiro,2007,vision
Thomas G. Dietterich,Xiaoli Fern,2014,ai
Thomas G. Dietterich,Janardhan Rao Doppa,2014,ai
Thomas G. Dietterich,Prasad Tadepalli,2014,ai
Thomas G. Dietterich,Sriraam Natarajan,2005,mlmining
Thomas G. Dietterich,Alan Fern,2005,mlmining
Thomas G. Dietterich,Prasad Tadepalli,2005,mlmining
Thomas G. Dietterich,Sinisa Todorovic,2015,vision
Thomas G. Dietterich,Janardhan Rao Doppa,2015,vision
Thomas G. Dietterich,David A. Bader,2013,mlmining
Thomas G. Dietterich,Edmond Chow,2013,mlmining
Thomas G. Dietterich,Alan Fern,2013,mlmining
Thomas G. Dietterich,Daniel Sheldon,2013,mlmining
Thomas G. Dietterich,Danai Koutra,2013,mlmining
Thomas G. Dietterich,Weng-Keen Wong,2013,mlmining
Thomas G. Dietterich,Irfan A. Essa,2013,mlmining
Thomas G. Dietterich,Christos Faloutsos,2013,mlmining
Thomas G. Dietterich,David D. Jensen,2013,mlmining
Thomas G. Dietterich,Duen Horng Chau,2013,mlmining
Thomas G. Dietterich,Xiaoli Z. Fern,2015,ai
Thomas G. Dietterich,Janardhan Rao Doppa,2015,ai
Thomas G. Dietterich,Prasad Tadepalli,2015,ai
Thomas G. Dietterich,Daniel R. Sheldon,2013,ai
Thomas G. Dietterich,Carlos Jensen,2010,chi
Thomas G. Dietterich,Xiaoli Fern,2009,mlmining
Thomas G. Dietterich,Alan Fern,2010,ai
Patrick Baillot,Vincent Danos,1997,log
Sasa Misailovic,Martin C. Rinard,2012,plan
Sasa Misailovic,Michael Carbin,2012,plan
Sasa Misailovic,Anant Agarwal,2011,arch
Sasa Misailovic,Martin C. Rinard,2011,arch
Sasa Misailovic,Henry Hoffmann,2011,arch
Sasa Misailovic,Michael Carbin,2011,arch
Sasa Misailovic,Martin C. Rinard,2011,soft
Sasa Misailovic,Henry Hoffmann,2011,soft
Sasa Misailovic,Martin T. Vechev,2016,log
Sasa Misailovic,Martin C. Rinard,2010,soft
Sasa Misailovic,Henry Hoffmann,2010,soft
Larry Birnbaum,Doug Downey,2017,ai
Paul Lu,Russell Greiner,2004,bio
Paul Lu,Duane Szafron,2004,bio
Paul Lu,David S. Wishart,2004,bio
Paul Lu,Jonathan Schaeffer,2005,ai
Paul Lu,Martin Müller 0003,2005,ai
Paul Lu,Russell Greiner,2006,ai
Paul Lu,Duane Szafron,2006,ai
Paul Lu,David S. Wishart,2006,ai
Paul Lu,Russell Greiner,2008,bio
Paul Lu,Duane Szafron,2008,bio
Paul Lu,Duane Szafron,2002,ai
Paul Lu,Jonathan Schaeffer,2002,ai
Paul Lu,Russell Greiner,2009,bio
Paul Lu,Duane Szafron,2009,bio
Tiow Seng Tan,Herbert Edelsbrunner,1991,act
Anant Agarwal,John L. Hennessy,1988,arch
Anant Agarwal,Mark Horowitz,1988,arch
Anant Agarwal,Emmett Witchel,2005,plan
Anant Agarwal,John Kubiatowicz,1990,arch
Anant Agarwal,John Kubiatowicz,1995,arch
Anant Agarwal,Saman P. Amarasinghe,1999,arch
Anant Agarwal,Henry Hoffmann,2013,bed
Anant Agarwal,Marco D. Santambrogio,2013,bed
Anant Agarwal,Henry Hoffmann,2012,da
Anant Agarwal,Srinivas Devadas,2012,da
Anant Agarwal,Michael Bedford Taylor,2004,arch
Anant Agarwal,Henry Hoffmann,2004,arch
Anant Agarwal,Saman P. Amarasinghe,2004,arch
Anant Agarwal,John Kubiatowicz,1992,arch
Anant Agarwal,John Kubiatowicz,1991,arch
Anant Agarwal,John Kubiatowicz,1996,arch
Anant Agarwal,Sasa Misailovic,2011,arch
Anant Agarwal,Martin C. Rinard,2011,arch
Anant Agarwal,Henry Hoffmann,2011,arch
Anant Agarwal,Michael Carbin,2011,arch
Anant Agarwal,Mark Horowitz,1986,arch
Mohamed G. Gouda,Simon S. Lam,2001,ir
Mohamed G. Gouda,Yang Richard Yang,2001,ir
Mohamed G. Gouda,Simon S. Lam,1998,comm
Hamed Hatami,Michael Molloy,2010,act
Hamed Hatami,Shachar Lovett,2011,act
Hamed Hatami,Arnab Bhattacharyya,2013,act
Hamed Hatami,Shachar Lovett,2013,act
Hamed Hatami,Eldar Fischer,2013,act
Hamed Hatami,Shachar Lovett,2016,act
Abram Hindle,Earl T. Barr,2012,soft
Abram Hindle,Zhendong Su,2012,soft
Abram Hindle,Premkumar T. Devanbu,2012,soft
Abram Hindle,Earl T. Barr,2011,soft
Abram Hindle,Premkumar T. Devanbu,2011,soft
Anupam Datta,John C. Mitchell,2006,sec
Anupam Datta,Helen Nissenbaum,2006,sec
Anupam Datta,John C. Mitchell,2005,sec
Anupam Datta,Yair Zick,2015,ai
Anupam Datta,Jeremiah Blocki,2015,ai
Anupam Datta,Ariel D. Procaccia,2015,ai
Anupam Datta,Adrian Perrig,2010,sec
Anupam Datta,Jeremiah Blocki,2013,ai
Anupam Datta,Ariel D. Procaccia,2013,ai
Anupam Datta,Yair Zick,2016,sec
Anupam Datta,Deepak Garg 0001,2014,log
Anupam Datta,Deepak Garg 0001,2009,sec
Anupam Datta,Deepak Garg 0001,2015,sec
Anupam Datta,Deepak Garg 0001,2011,sec
Anupam Datta,Or Sheffet,2012,act
Anupam Datta,Avrim Blum,2012,act
Anupam Datta,Jeremiah Blocki,2012,act
Yoram Moses,Moshe Y. Vardi,1994,ai
Yoram Moses,Joseph Y. Halpern,1994,ai
Yoram Moses,Joseph Y. Halpern,2007,ai
Yoram Moses,Joseph Y. Halpern,1988,act
Yoram Moses,Joseph Y. Halpern,1985,ai
Yoram Moses,Yoav Shoham,1989,ai
Jyh-Ming Lien,Jana Kosecka,2015,robotics
Jyh-Ming Lien,Nancy M. Amato,2007,robotics
Jyh-Ming Lien,Nancy M. Amato,2004,robotics
Jyh-Ming Lien,Yotam I. Gingold,2015,vision
Jyh-Ming Lien,Nancy M. Amato,2005,robotics
Jyh-Ming Lien,Nancy M. Amato,2006,robotics
Jyh-Ming Lien,Nancy M. Amato,2002,robotics
Jyh-Ming Lien,Nancy M. Amato,2003,robotics
Jyh-Ming Lien,Yotam I. Gingold,2017,graph
Arti Ramesh,Dan Goldwasser,2014,ai
Arti Ramesh,Lise Getoor,2014,ai
Arti Ramesh,Bert Huang,2014,ai
Arti Ramesh,Hal Daumé III,2014,ai
Arti Ramesh,Lise Getoor,2015,nlp
Shan Lu,Karthikeyan Sankaralingam,2013,arch
Shan Lu,Guoliang Jin,2013,arch
Shan Lu,Ben Liblit,2011,plan
Shan Lu,Guoliang Jin,2011,plan
Shan Lu,Yuanyuan Zhou,2004,ops
Shan Lu,Suman Banerjee,2010,metrics
Shan Lu,Dawn Xiaodong Song,2007,ops
Shan Lu,Raluca A. Popa,2007,ops
Shan Lu,Yuanyuan Zhou,2007,ops
Shan Lu,Dimitris Samaras,2003,vision
Shan Lu,Dimitris N. Metaxas,2003,vision
Shan Lu,Onur Mutlu,2016,ops
Shan Lu,Guoqing (Harry) Xu,2016,ops
Shan Lu,Yuanyuan Zhou,2016,ops
Shan Lu,Somesh Jha,2013,log
Shan Lu,William R. Harris,2013,log
Shan Lu,Guoliang Jin,2013,log
Shan Lu,Guoliang Jin,2014,arch
Shan Lu,Feng Qin,2006,arch
Shan Lu,Josep Torrellas,2006,arch
Shan Lu,Yuanyuan Zhou,2006,arch
Shan Lu,Guoliang Jin,2011,arch
Shan Lu,Thomas W. Reps,2011,arch
Shan Lu,Haryadi S. Gunawi,2016,arch
Shan Lu,Adrian Nistor,2015,soft
Shan Lu,Guoliang Jin,2015,soft
Shan Lu,Yuanyuan Zhou,2008,arch
Shan Lu,Yuanyuan Zhou,2009,ops
Shan Lu,Yuanyuan Zhou,2009,arch
Shan Lu,Adrian Nistor,2013,soft
Shan Lu,Darko Marinov,2013,soft
Shan Lu,Guoqing (Harry) Xu,2015,ops
Shan Lu,Michael M. Swift,2012,arch
Shan Lu,Guoliang Jin,2012,plan
Shan Lu,Feng Qin,2004,arch
Shan Lu,Josep Torrellas,2004,arch
Shan Lu,Yuanyuan Zhou,2004,arch
Fahiem Bacchus,Toniann Pitassi,2003,act
Fahiem Bacchus,Hector J. Levesque,1995,ai
Fahiem Bacchus,Joseph Y. Halpern,1995,ai
Fahiem Bacchus,Daphne Koller,1992,ai
Fahiem Bacchus,Joseph Y. Halpern,1992,ai
Fahiem Bacchus,Allen Van Gelder,2011,ai
Fahiem Bacchus,Peter van Beek,1998,ai
Fahiem Bacchus,Allen Van Gelder,2008,ai
Fahiem Bacchus,Toniann Pitassi,2008,ai
Fahiem Bacchus,Daphne Koller,1993,ai
Fahiem Bacchus,Joseph Y. Halpern,1993,ai
Fahiem Bacchus,Sheila A. McIlraith,2007,ai
Fahiem Bacchus,Daphne Koller,1994,ai
Fahiem Bacchus,Joseph Y. Halpern,1994,ai
Fahiem Bacchus,Toby Walsh,2005,ai
John Darlington,Tony Field,2001,hpc
Pascal Poupart,Edward Lank,2008,chi
Pascal Poupart,Peter van Beek,2008,ai
Pascal Poupart,Michael Bowling,2015,ai
Pascal Poupart,Jesse Hoey,2013,ai
Pascal Poupart,Edwin V. Bonilla,2013,ai
Pascal Poupart,Marek Grzes,2013,ai
Pascal Poupart,Jesse Hoey,2005,ai
Pascal Poupart,Dale Schuurmans,2005,ai
Pascal Poupart,Yuying Li,2012,ai
Pascal Poupart,Jesse Hoey,2006,mlmining
Pascal Poupart,Peter van Beek,2006,ai
Pascal Poupart,Dale Schuurmans,2006,ai
Pascal Poupart,Robin Cohen,2006,ai
Pascal Poupart,Michael H. Bowling,2006,ai
Pascal Poupart,Chrysanne DiMarco,2007,nlp
Pascal Poupart,Jesse Hoey,2011,ai
Pascal Poupart,Dale Schuurmans,2002,ai
Pascal Poupart,Carlos Guestrin,2002,ai
Pascal Poupart,Prashant Doshi,2016,ai
Pascal Poupart,Geoffrey J. Gordon,2016,mlmining
Scott Owens,Rajeev Alur,2012,log
Scott Owens,Peter Sewell,2012,log
Scott Owens,Jade Alglave,2012,log
Scott Owens,Peter Sewell,2012,plan
Scott Owens,Mark Batty,2012,plan
Scott Owens,Jade Alglave,2012,plan
Scott Owens,Francesco Zappa Nardelli,2009,plan
Scott Owens,Peter Sewell,2009,plan
Scott Owens,Jade Alglave,2009,plan
Scott Owens,Peter Sewell,2011,plan
Scott Owens,Mark Batty,2011,plan
Jim Griffioen,Kenneth L. Calvert,2004,comm
Jim Griffioen,Kenneth L. Calvert,2002,comm
Daniel Deutch,Tova Milo,2012,ir
Daniel Deutch,Tova Milo,2010,mod
Daniel Deutch,Val Tannen,2014,mod
Daniel Deutch,Tova Milo,2008,mod
Marco Zuniga,Jie Gao,2014,comm
Marco Zuniga,Koen Langendoen,2016,mobile
Marco Zuniga,Koen Langendoen,2014,mobile
Marco Zuniga,Ahmed Helmy,2004,mobile
Marco Zuniga,Bhaskar Krishnamachari,2004,mobile
Henry J. Gardner,Ben Swift,2016,chi
Anastassia Ailamaki,Babak Falsafi,2007,mod
Anastassia Ailamaki,Nikos Hardavellas,2007,mod
Anastassia Ailamaki,Babak Falsafi,2007,arch
Anastassia Ailamaki,Thomas F. Wenisch,2007,arch
Anastassia Ailamaki,Babak Falsafi,2005,arch
Anastassia Ailamaki,Nikolaos Hardavellas,2005,arch
Anastassia Ailamaki,Thomas F. Wenisch,2005,arch
Anastassia Ailamaki,Mark D. Hill,1999,mod
Anastassia Ailamaki,David A. Wood,1999,mod
Anastassia Ailamaki,Mark D. Hill,2000,arch
Anastassia Ailamaki,David A. Wood,2000,arch
Anastassia Ailamaki,Todd C. Mowry,2005,mod
Anastassia Ailamaki,Phillip B. Gibbons,2005,mod
Anastassia Ailamaki,Babak Falsafi,2006,arch
Anastassia Ailamaki,Todd C. Mowry,2006,arch
Anastassia Ailamaki,Thomas F. Wenisch,2006,arch
Anastassia Ailamaki,Mark D. Hill,2001,mod
Anastassia Ailamaki,David R. O'Hallaron,2006,mod
Anastassia Ailamaki,Bruce M. Maggs,2006,mod
Anastassia Ailamaki,Todd C. Mowry,2006,mod
Bryan Kian Hsiang Low,Mohan S. Kankanhalli,2014,mlmining
Bryan Kian Hsiang Low,Patrick Jaillet,2014,mlmining
Phokion G. Kolaitis,Wang-Chiew Tan,2013,mod
Phokion G. Kolaitis,Wang Chiew Tan,2009,mod
Phokion G. Kolaitis,Moshe Y. Vardi,1987,act
Phokion G. Kolaitis,Moshe Y. Vardi,2000,ai
Phokion G. Kolaitis,Georg Gottlob,2000,act
Phokion G. Kolaitis,Christos H. Papadimitriou,1988,ai
Phokion G. Kolaitis,Wang Chiew Tan,2011,mod
Phokion G. Kolaitis,Samson Abramsky,2013,ai
Phokion G. Kolaitis,Georg Gottlob,2013,ai
Phokion G. Kolaitis,Moshe Y. Vardi,1988,log
Phokion G. Kolaitis,Moshe Y. Vardi,1996,log
Phokion G. Kolaitis,Moshe Y. Vardi,1992,log
Phokion G. Kolaitis,Moshe Y. Vardi,1990,log
Phokion G. Kolaitis,Swastik Kopparty,2009,act
Yuhong Guo,Russell Greiner,2007,ai
Yuhong Guo,Dale Schuurmans,2014,ai
Yuhong Guo,Russell Greiner,2005,ai
Yuhong Guo,Dale Schuurmans,2005,ai
Yuhong Guo,Dale Schuurmans,2015,vision
Yuhong Guo,Dale Schuurmans,2011,ai
Yuhong Guo,Dale Schuurmans,2007,mlmining
Raghu Meka,Omer Reingold,2011,act
Raghu Meka,Santosh Vempala,2011,act
Raghu Meka,Eric Vigoda,2011,act
Raghu Meka,Adam R. Klivans,2011,act
Raghu Meka,David Zuckerman,2011,act
Raghu Meka,Daniel Stefankovic,2011,act
Raghu Meka,Inderjit S. Dhillon,2008,mlmining
Raghu Meka,Adam R. Klivans,2010,act
Raghu Meka,David Zuckerman,2010,act
Raghu Meka,Ilias Diakonikolas,2010,act
Raghu Meka,Prasad Raghavendra,2010,act
Raghu Meka,Rocco A. Servedio,2010,act
Raghu Meka,Salil P. Vadhan,2012,act
Raghu Meka,Omer Reingold,2012,act
Raghu Meka,David Steurer,2012,act
Raghu Meka,Shachar Lovett,2012,act
Raghu Meka,Luca Trevisan,2012,act
Raghu Meka,Boaz Barak,2012,act
Raghu Meka,David Zuckerman,2012,act
Raghu Meka,Russell Impagliazzo,2012,act
Raghu Meka,Prasad Raghavendra,2012,act
Raghu Meka,Inderjit S. Dhillon,2009,mlmining
Raghu Meka,Daniel M. Kane,2013,act
Raghu Meka,David Zuckerman,2015,act
Raghu Meka,Shachar Lovett,2015,act
Raghu Meka,Inderjit S. Dhillon,2010,mlmining
Patricia Bouyer,Joël Ouaknine,2007,log
Patricia Bouyer,Nicolas Markey,2007,log
Patricia Bouyer,James Worrell,2007,log
Patricia Bouyer,Christel Baier,2008,log
Patricia Bouyer,Deepak D'Souza,2003,log
Patricia Bouyer,P. Madhusudan,2003,log
Patricia Bouyer,Nicolas Markey,2016,log
Gerhard Neumann,Jan Peters 0001,2015,robotics
Gerhard Neumann,Heni Ben Amor,2015,robotics
Gerhard Neumann,Jan Peters 0001,2013,mlmining
Gerhard Neumann,Jan Peters 0001,2013,ai
Gerhard Neumann,Marc Peter Deisenroth,2013,ai
Gerhard Neumann,Jan Peters 0001,2008,mlmining
Gerhard Neumann,Jan Peters 0001,2013,robotics
Gerhard Neumann,Jan Peters 0001,2016,robotics
Gerhard Neumann,Jan Peters 0001,2009,mlmining
Gerhard Neumann,Jan Peters 0001,2014,robotics
Gerhard Neumann,Heni Ben Amor,2014,robotics
Gerhard Neumann,Jan Peters 0001,2017,ai
Gerhard Neumann,Johannes Fürnkranz,2016,ai
Gerhard Neumann,Jan Peters 0001,2012,robotics
Gerhard Neumann,Heni Ben Amor,2012,robotics
Gerhard Neumann,Jan Peters 0001,2015,mlmining
Shashi Shekhar,Dan S. Wallach,2011,sec
Shashi Shekhar,Chang-Tien Lu,2001,mlmining
Shashi Shekhar,Pang-Ning Tan,2004,mlmining
Shashi Shekhar,Vipin Kumar,2004,mlmining
Shashi Shekhar,Dan S. Wallach,2012,sec
Shashi Shekhar,Jaideep Srivastava,1988,mod
Bruce Randall Donald,Daniela Rus,2000,robotics
Bruce Randall Donald,John H. Reif,1988,act
Bruce Randall Donald,John F. Canny,1988,act
Bruce Randall Donald,Donald P. Greenberg,1990,graph
Bruce Randall Donald,Lorie Loeb,2000,graph
Bruce Randall Donald,Christopher James Langmead,2002,bio
Bruce Randall Donald,Wei Xu,2014,bio
Bruce Randall Donald,Chris Bailey-Kellogg,2011,bio
Bruce Randall Donald,Daniela Rus,1994,robotics
Bruce Randall Donald,Christopher James Langmead,2001,bio
Bruce Randall Donald,Christopher Bailey-Kellogg,2001,robotics
Bruce Randall Donald,Clifford Stein,2000,bio
Bruce Randall Donald,Christopher Bailey-Kellogg,2000,bio
Bruce Randall Donald,Christopher James Langmead,2003,bio
Ashwin Machanavajjhala,Amol Deshpande,2013,mod
Ashwin Machanavajjhala,Gerome Miklau,2016,mod
Ashwin Machanavajjhala,Yan Chen,2016,mod
Ashwin Machanavajjhala,Aleksandra Korolova,2011,mod
Ashwin Machanavajjhala,Daniel Kifer,2011,mod
Ashwin Machanavajjhala,Landon P. Cox,2016,mobile
Edwin V. Bonilla,Peter Christen,2012,ir
Edwin V. Bonilla,Lexing Xie,2012,ir
Edwin V. Bonilla,Pascal Poupart,2013,ai
Edwin V. Bonilla,Michael F. P. O'Boyle,2010,arch
Edwin V. Bonilla,Timothy M. Jones,2010,arch
Edwin V. Bonilla,Christophe Dubach,2010,arch
Edwin V. Bonilla,Wray L. Buntine,2011,mlmining
Edwin V. Bonilla,Michael F. P. O'Boyle,2006,mlmining
Edwin V. Bonilla,John Cavazos,2006,mlmining
Edwin V. Bonilla,Michael F. P. O'Boyle,2009,arch
Edwin V. Bonilla,Timothy M. Jones,2009,arch
Edwin V. Bonilla,Christophe Dubach,2009,arch
Jonathan Katz,Rafail Ostrovsky,2001,crypt
Jonathan Katz,Steven Myers,2001,crypt
Jonathan Katz,Adam D. Smith,2001,crypt
Jonathan Katz,Michael W. Hicks,2014,sec
Jonathan Katz,Elaine Shi,2014,sec
Jonathan Katz,Andrew Miller,2014,sec
Jonathan Katz,Ari Juels,2014,sec
Jonathan Katz,Yan Huang 0001,2014,sec
Jonathan Katz,Peter J. Keleher,2004,comm
Jonathan Katz,Rafail Ostrovsky,2007,act
Jonathan Katz,David Evans,2012,sec
Jonathan Katz,Tal Malkin,2012,sec
Jonathan Katz,S. Dov Gordon,2012,sec
Jonathan Katz,Yan Huang 0001,2012,sec
Jonathan Katz,Rafail Ostrovsky,2004,crypt
Jonathan Katz,Ran Canetti,2004,crypt
Jonathan Katz,S. Dov Gordon,2008,act
Jonathan Katz,Yehuda Lindell,2008,act
Jonathan Katz,Rosario Gennaro,2003,act
Jonathan Katz,Giuseppe Persiano,2009,crypt
Jonathan Katz,Ivan Visconti,2009,crypt
Jonathan Katz,Yehuda Lindell,2009,crypt
Jonathan Katz,Abhi Shelat,2009,crypt
Jonathan Katz,David Evans,2013,crypt
Jonathan Katz,Yan Huang 0001,2013,crypt
Jonathan Katz,Emmett Witchel,2013,sec
Jonathan Katz,Brent Waters,2013,sec
Jonathan Katz,Luca Trevisan,2000,act
Jonathan Katz,Elaine Shi,2015,sec
Jonathan Katz,Andrew Miller,2015,sec
Jonathan Katz,Amit Sahai,2008,crypt
Jonathan Katz,Brent Waters,2008,crypt
Jonathan Katz,Rafail Ostrovsky,2003,crypt
Jonathan Katz,Ran Canetti,2003,crypt
Jonathan Katz,Adam D. Smith,2003,crypt
Jonathan Katz,Elaine Shi,2014,crypt
Jonathan Katz,Amit Sahai,2014,crypt
Jonathan Katz,Vipul Goyal,2014,crypt
Jonathan Katz,S. Dov Gordon,2014,crypt
Jonathan Katz,Anna Lysyanskaya,2014,crypt
Jonathan Katz,Yan Huang 0001,2014,crypt
Jonathan Katz,Hong-Sheng Zhou,2014,crypt
Jonathan Katz,Shafi Goldwasser,2014,crypt
Jonathan Katz,Ueli Maurer,2012,crypt
Jonathan Katz,Yevgeniy Dodis,2002,crypt
Jonathan Katz,David Evans,2011,sec
Jonathan Katz,Yan Huang 0001,2011,sec
Jonathan Katz,Michael Hicks,2014,plan
Jonathan Katz,Elaine Shi,2014,plan
Jonathan Katz,Andrew Miller,2014,plan
Jonathan Katz,Abhi Shelat,2016,sec
Jonathan Katz,David Evans,2016,sec
Jonathan Katz,Dan Boneh,2016,sec
Jonathan Katz,Yan Huang 0001,2016,sec
Jonathan Katz,Vinod Vaikuntanathan,2010,act
Jonathan Katz,S. Dov Gordon,2010,crypt
Jonathan Katz,Rafail Ostrovsky,2005,crypt
Jonathan Katz,Yevgeniy Dodis,2005,crypt
Jonathan Katz,Ran Canetti,2005,crypt
Jonathan Katz,Yehuda Lindell,2005,crypt
Jonathan Katz,Adam D. Smith,2005,crypt
Jonathan Katz,Leonid Reyzin,2006,crypt
Jonathan Katz,Yevgeniy Dodis,2006,crypt
Jonathan Katz,Adam D. Smith,2006,crypt
Jonathan Katz,Ueli Maurer,2013,act
Jonathan Katz,Adam D. Smith,2013,act
Yechiam Yemini,Ouri Wolfson,1991,mod
Yechiam Yemini,Salvatore J. Stolfo,1991,mod
Yechiam Yemini,Hao Huang,2000,comm
Yechiam Yemini,James F. Kurose,1983,comm
Philip N. Klein,Neal E. Young,1999,act
Philip N. Klein,Clifford Stein,1999,act
Philip N. Klein,Mikkel Thorup,1999,act
Philip N. Klein,David R. Karger,1999,act
Philip N. Klein,MohammadTaghi Hajiaghayi,2012,act
Philip N. Klein,Claire Mathieu,2012,act
Philip N. Klein,Claire Mathieu,2014,act
Philip N. Klein,Glencora Borradaile,2007,act
Philip N. Klein,Claire Kenyon-Mathieu,2007,act
Philip N. Klein,Satish Rao,1993,act
Philip N. Klein,John H. Reif,1986,act
Philip N. Klein,Glencora Borradaile,2008,act
Philip N. Klein,Claire Mathieu,2008,act
Philip N. Klein,Michelangelo Grigni,1998,act
Philip N. Klein,Sanjeev Arora,1998,act
Philip N. Klein,David R. Karger,1998,act
Philip N. Klein,Éric Colin de Verdière,2016,act
Philip N. Klein,Claire Mathieu,2016,act
Philip N. Klein,Glencora Borradaile,2011,act
Philip N. Klein,Christian Wulff-Nilsen,2011,act
Philip N. Klein,Glencora Borradaile,2006,act
Philip N. Klein,Ming-Yang Kao,1990,act
Philip N. Klein,Clifford Stein,1990,act
Philip N. Klein,Satish Rao,1990,act
Philip N. Klein,Éva Tardos,1990,act
Philip N. Klein,Thomas W. Doeppner Jr.,2000,sec
Philip N. Klein,Robert Endre Tarjan,1994,act
Philip N. Klein,Satish Rao,1994,act
Kasturi R. Varadarajan,Rajiv Raman,2004,act
Kasturi R. Varadarajan,Sriram V. Pemmaraju,2004,act
Kasturi R. Varadarajan,Pankaj K. Agarwal,1997,act
Kasturi R. Varadarajan,Pankaj K. Agarwal,1999,act
Kasturi R. Varadarajan,Sriram V. Pemmaraju,2005,act
Kasturi R. Varadarajan,Piotr Indyk,2001,act
