name,affiliation
Herbert Edelsbrunner , IST Austria
Jan Maas , IST Austria
Jiri Friml , IST Austria
Johannes Fink , IST Austria
Jonathan P. Bollback , IST Austria
Jozsef Csicsvari , IST Austria
Julian Fischer , IST Austria
Krishnendu Chatterjee , IST Austria
Krzysztof Pietrzak , IST Austria
Laszlo Erdös , IST Austria
Leonid Sazanov , IST Austria
Maksim Serbyn , IST Austria
Martin Loose , IST Austria
Maximilian Jösch , IST Austria
Michael Sixt , IST Austria
Mikhail Lemeshko , IST Austria
Nick Barton , IST Austria
Peter Jonas , IST Austria
Peter Krogstrup , IST Austria
Robert Seiringer , IST Austria
Ryuichi Shigemoto , IST Austria
Sandra Siegert , IST Austria
Simon Hippenmeyer , IST Austria
Sylvia Cremer , IST Austria
Tamas Hausel , IST Austria
Thomas A. Henzinger , IST Austria
Tobias Bollenbach , IST Austria
Uli Wagner , IST Austria
Vladimir Kolmogorov , IST Austria
Alessandro Bruni , IT University of Copenhagen
Andres Faina , IT University of Copenhagen
Andrzej Wasowski , IT University of Copenhagen
Björn Þór Jónsson 0001 , IT University of Copenhagen
Carsten Schürmann , IT University of Copenhagen
Claus Brabrand , IT University of Copenhagen
Dan Witzner Hansen , IT University of Copenhagen
Jes Frellsen , IT University of Copenhagen
Jesper Bengtson , IT University of Copenhagen
Kasper Støy , IT University of Copenhagen
Marco Carbone , IT University of Copenhagen
Natalie Schluter , IT University of Copenhagen
Paolo Tell , IT University of Copenhagen
Patrick Bahr , IT University of Copenhagen
Peter Sestoft , IT University of Copenhagen
Philippe Bonnet , IT University of Copenhagen
Rasmus Ejlers Møgelberg , IT University of Copenhagen
Rasmus Pagh , IT University of Copenhagen
Riko Jacob , IT University of Copenhagen
Rune Møller Jensen , IT University of Copenhagen
Sami S. Brandt , IT University of Copenhagen
Sami Sebastian Brandt , IT University of Copenhagen
Søren Debois , IT University of Copenhagen
Søren Lauesen , IT University of Copenhagen
Thomas T. Hildebrandt , IT University of Copenhagen
Thomas Troels Hildebrandt , IT University of Copenhagen
Thore Husfeldt , IT University of Copenhagen
Troels Bjerre Lund , IT University of Copenhagen
Troels Bjerre Sørensen , IT University of Copenhagen
Yvonne Dittrich , IT University of Copenhagen
Zeljko Agic , IT University of Copenhagen
A. Aldo Faisal , Imperial College London
A. J. Field , Imperial College London
Abbas Edalat , Imperial College London
Abhijeet Ghosh , Imperial College London
Alastair F. Donaldson , Imperial College London
Aldo A. Faisal , Imperial College London
Aldo Faisal , Imperial College London
Alessandra Russo , Imperial College London
Alessio Lomuscio , Imperial College London
Alessio R. Lomuscio , Imperial College London
Andrew J. Davison , Imperial College London
Anthony J. Field , Imperial College London
Antonio Filieri , Imperial College London
Ben Glocker , Imperial College London
Benjamin Livshits , Imperial College London
Benjamin M. Glocker , Imperial College London
Bernhard Kainz , Imperial College London
Berç Rustem , Imperial College London
Chris Hankin , Imperial College London
Cristian Cadar , Imperial College London
Cristiano Calcagno , Imperial College London
Daniel Rueckert , Imperial College London
Duncan Fyfe Gillies , Imperial College London
Duncan Gillies , Imperial College London
Emil C. Lupu , Imperial College London
Emil Constantine Lupu , Imperial College London
Emil Lupu , Imperial College London
Eno Thereska , Imperial College London
Fariba Sadri , Imperial College London
Francesca Toni , Imperial College London
Giuliano Casale , Imperial College London
Guang-Zhong Yang , Imperial College London
Herbert Wiklicky , Imperial College London
Iain C. C. Phillips , Imperial College London
Iain Phillips , Imperial College London
Ian M. Hodkinson , Imperial College London
Jeff Kramer , Imperial College London
Jeffrey Kramer , Imperial College London
Jim Cunningham , Imperial College London
John Darlington , Imperial College London
Julie A. McCann , Imperial College London
Julie Ann McCann , Imperial College London
Keith Clark , Imperial College London
Kin K. Leung , Imperial College London
Krysia Broda , Imperial College London
Mahdi Cheraghchi , Imperial College London
Mahdi Cheraghchi Bashi Astaneh , Imperial College London
Maja Pantic , Imperial College London
Marc Peter Deisenroth , Imperial College London
Marek J. Sergot , Imperial College London
Margaret Cunningham , Imperial College London
Michael Huth , Imperial College London
Morris Sloman , Imperial College London
Murray Shanahan , Imperial College London
Naranker Dulay , Imperial College London
Nicholas R. Jennings , Imperial College London
Nicholas Robert Jennings , Imperial College London
Nick R. Jennings , Imperial College London
Nobuko Yoshida , Imperial College London
Oskar Mencer , Imperial College London
Panos Parpas , Imperial College London
Paul H. J. Kelly , Imperial College London
Peter G. Harrison , Imperial College London
Peter McBrien , Imperial College London
Peter Pietzuch , Imperial College London
Peter R. Pietzuch , Imperial College London
Philippa Gardner , Imperial College London
R. James Cunningham , Imperial College London
Robert Kowalski , Imperial College London
Ruth Misener , Imperial College London
Sergio Maffeis , Imperial College London
Sophia Drossopoulou , Imperial College London
Stefan Leutenegger , Imperial College London
Stefanos P. Zafeiriou , Imperial College London
Stefanos Zafeiriou , Imperial College London
Steffen van Bakel , Imperial College London
Stephen H. Muggleton , Imperial College London
Stephen Muggleton , Imperial College London
Su-Lin Lee , Imperial College London
Susan Eisenbach , Imperial College London
Thomas Heinis , Imperial College London
Tony Field , Imperial College London
V. Benjamin Livshits , Imperial College London
Wayne Luk , Imperial College London
William J. Knottenbelt , Imperial College London
William John Knottenbelt , Imperial College London
Yike Guo , Imperial College London
Amr Sabry , Indiana University
Andrew Lumsdaine , Indiana University
Apu Kapadia , Indiana University
Beth A. Plale , Indiana University
Beth Plale , Indiana University
Bobby Schnabel , Indiana University
Cenk S. Sahinalp , Indiana University
Christopher Raphael , Indiana University
Chung-chieh Shan , Indiana University
D. Martin Swany , Indiana University
Daniel Leivant , Indiana University
Daniel P. Friedman , Indiana University
David B. Leake , Indiana University
David J. Crandall , Indiana University
David Leake , Indiana University
Dirk Van Gucht , Indiana University
Donald S. Williamson , Indiana University
Douglas Hofstadter , Indiana University
Eli Blevis , Indiana University
Erik Stolterman , Indiana University
Erin Brady , Indiana University
Erin L. Brady , Indiana University
Esfandiar Haghverdi , Indiana University
Feng Qian , Indiana University
Funda Ergün , Indiana University
Geoffrey Brown , Indiana University
Geoffrey C. Fox , Indiana University
Geoffrey Charles Fox , Indiana University
Gregory J. E. Rawlins , Indiana University
Grigory Yaroslavtsev , Indiana University
Haixu Tang , Indiana University
Hamid R. Ekbia , Indiana University
Jeffrey Bardzell , Indiana University
Jeremy G. Siek , Indiana University
Judy Qiu , Indiana University
Katie A. Siek , Indiana University
Katie Moor , Indiana University
Kay Connelly , Indiana University
Kay H. Connelly , Indiana University
L. Jean Camp , Indiana University
Linda Jean Camp , Indiana University
M. S. Ryoo , Indiana University
Martha White , Indiana University
Martin A. Siegel , Indiana University
Martin Swany , Indiana University
Matthew W. Hahn , Indiana University
Mehmet M. Dalkilic , Indiana University
Mehmet M. Dalkiliç , Indiana University
Michael A. McRobbie , Indiana University
Michael S. Ryoo , Indiana University
Minaxi Gupta , Indiana University
Norman Makoto Su , Indiana University
Patrick C. Shih , Indiana University
Paul W. Purdom , Indiana University
Predrag Radivojac , Indiana University
Qin Zhang 0001 , Indiana University
Randall Bramley , Indiana University
Randall D. Beer , Indiana University
Raquel Hill , Indiana University
Robert B. Schnabel , Indiana University
Ryan Henry , Indiana University
Ryan Newton , Indiana University
Ryan R. Newton , Indiana University
Sam Tobin-Hochstadt , Indiana University
Selma Sabanovic , Indiana University
Shaowen Bardzell , Indiana University
Sriraam Natarajan , Indiana University
Steven A. Myers , Indiana University
Steven Myers , Indiana University
Süleyman Cenk Sahinalp , Indiana University
Thomas L. Sterling , Indiana University
Thomas Lawrence Sterling , Indiana University
XiaoFeng Wang , Indiana University
Yan Huang 0001 , Indiana University
Yuan Zhou , Indiana University
Yuqing Melanie Wu , Indiana University
Yuqing Wu , Indiana University
Yuzhen Ye , Indiana University
Arjan Durresi , Indiana University-Purdue University Indianapolis
Fengguang Song , Indiana University-Purdue University Indianapolis
Gabriel Tsechpenakis , Indiana University-Purdue University Indianapolis
Gavriil Tsechpenakis , Indiana University-Purdue University Indianapolis
George Mohler , Indiana University-Purdue University Indianapolis
George O. Mohler , Indiana University-Purdue University Indianapolis
James H. Hill , Indiana University-Purdue University Indianapolis
Jiang Yu Zheng , Indiana University-Purdue University Indianapolis
Mihran Tuceryan , Indiana University-Purdue University Indianapolis
Mohammad Al Hasan , Indiana University-Purdue University Indianapolis
Murat Dundar , Indiana University-Purdue University Indianapolis
Rajeev R. Raje , Indiana University-Purdue University Indianapolis
Shiaofen Fang , Indiana University-Purdue University Indianapolis
Snehasis Mukhopadhyay , Indiana University-Purdue University Indianapolis
Xia Ning , Indiana University-Purdue University Indianapolis
Xukai Zou , Indiana University-Purdue University Indianapolis
Yao Liang , Indiana University-Purdue University Indianapolis
Yuni Xia , Indiana University-Purdue University Indianapolis
Aduri Pavan , Iowa State University
Andrew S. Miner , Iowa State University
Carl K. Chang , Iowa State University
David Fernández-Baca , Iowa State University
Eric Rozier , Iowa State University
Eric William Davis Rozier , Iowa State University
Forrest Sheng Bao , Iowa State University
Gianfranco Ciardo , Iowa State University
Giora Slutzki , Iowa State University
Guang Song , Iowa State University
Gurpur M. Prabhu , Iowa State University
Hridesh Rajan , Iowa State University
Jack H. Lutz , Iowa State University
Jeremy W. Sheaffer , Iowa State University
Jia Liu , Iowa State University
Jin Tian , Iowa State University
Johnny S. Wong , Iowa State University
Johnny Wong , Iowa State University
Kris De Brabanter , Iowa State University
Lu Ruan , Iowa State University
Oliver Eulenstein , Iowa State University
Robyn R. Lutz , Iowa State University
Samik Basu , Iowa State University
Shashi K. Gadia , Iowa State University
Soma Chaudhuri , Iowa State University
Wallapak Tavanapong , Iowa State University
Wei Le , Iowa State University
Wensheng Zhang 0001 , Iowa State University
Xiaoqiu Huang , Iowa State University
Yan-Bin Jia , Iowa State University
Ying Cai , Iowa State University
Abhishek Jain 0002 , Johns Hopkins University
Alexis Battle , Johns Hopkins University
Aviel D. Rubin , Johns Hopkins University
Ben Langmead , Johns Hopkins University
Benjamin David Van Durme , Johns Hopkins University
Benjamin Van Durme , Johns Hopkins University
David Yarowsky , Johns Hopkins University
Gregory D. Hager , Johns Hopkins University
Jason Eisner , Johns Hopkins University
Joanne F. Selinski , Johns Hopkins University
Mark Dredze , Johns Hopkins University
Matthew D. Green , Johns Hopkins University
Matthew Green 0001 , Johns Hopkins University
Michael Dinitz , Johns Hopkins University
Michael Kazhdan , Johns Hopkins University
Michael M. Kazhdan , Johns Hopkins University
Michael Schatz , Johns Hopkins University
Misha Kazhdan , Johns Hopkins University
Peter Kazanzides , Johns Hopkins University
Philipp Koehn , Johns Hopkins University
Raman Arora , Johns Hopkins University
Randal Burns , Johns Hopkins University
Randal C. Burns , Johns Hopkins University
Russell H. Taylor , Johns Hopkins University
Russell Highsmith Taylor , Johns Hopkins University
S. Rao Kosaraju , Johns Hopkins University
Scott F. Smith , Johns Hopkins University
Suchi Saria , Johns Hopkins University
Susan Hohenberger , Johns Hopkins University
Vladimir Braverman , Johns Hopkins University
Xin Li 0006 , Johns Hopkins University
Yair Amir , Johns Hopkins University
Yanif Ahmad , Johns Hopkins University
Alice H. Oh , KAIST
Alice Haeyun Oh , KAIST
Brent ByungHoon Kang , KAIST
Byungjoo Lee , KAIST
Changho Suh , KAIST
Chin-Wan Chung , KAIST
Dae Young Kim , KAIST
Daniel Pieter Saakes , KAIST
Daniel Saakes , KAIST
Dong Soo Han , KAIST
Dongman Lee , KAIST
Dongsu Han , KAIST
Doo­Hwan Bae , KAIST
Eunho Yang , KAIST
Geehyuk Lee , KAIST
Heung­Kyu Lee , KAIST
Ho Jin Choi , KAIST
Hongseok Yang , KAIST
Hyun Seung Yang , KAIST
Hyunsoo Yoon , KAIST
In-So Kweon , KAIST
In-Young Ko , KAIST
Insik Shin , KAIST
Inso Kweon , KAIST
Jae-Gil Lee 0001 , KAIST
Jaehyuk Huh , KAIST
Jean Charles Bazin , KAIST
Ji-Hyun Lee , KAIST
Jinah Park , KAIST
Jinwoo Shin , KAIST
John Kim , KAIST
Jong Cheol Park , KAIST
Jongmoon Baik , KAIST
Jooyoung Lee , KAIST
Juho Kim , KAIST
Jun-yong Noh , KAIST
Junehwa Song , KAIST
Junmo Kim , KAIST
Junyong Noh , KAIST
Kee-Eung Kim , KAIST
Key-Sun Choi , KAIST
Kun-Pyo Lee , KAIST
Kwangjo Kim , KAIST
Kwang­Moo Choe , KAIST
KyoungSoo Park , KAIST
Kyu-Young Whang , KAIST
Martin Ziegler , KAIST
Meeyoung Cha , KAIST
Min H. Kim , KAIST
Moonzoo Kim , KAIST
Myoung Ho Kim , KAIST
Myungchul Kim , KAIST
Naehyuck Chang , KAIST
Næhyuck Chang , KAIST
Otfried Cheong , KAIST
Otfried Schwarzkopf , KAIST
Sang Kil Cha , KAIST
Seok-Hyung Bae , KAIST
Seung Ryoul Maeng , KAIST
Seungryoul Maeng , KAIST
Seungwon Shin , KAIST
Shin Yoo , KAIST
Song Chong , KAIST
Sooel Son , KAIST
Soon J. Hyun , KAIST
Soon Joo Hyun , KAIST
Soontae Kim , KAIST
Sue B. Moon , KAIST
Sue Moon , KAIST
Sukyoung Ryu , KAIST
Sung-Eui Yoon , KAIST
Sung-Hee Lee , KAIST
Sung-Hyon Myaeng , KAIST
Sung-Ju Lee , KAIST
Sunghee Choi , KAIST
Sungho Jo , KAIST
Sungwon Kang , KAIST
Taisook Han , KAIST
Tek-Jin Nam , KAIST
Uichin Lee , KAIST
Woontack Woo , KAIST
Yongdae Kim , KAIST
Yoon Joon Lee , KAIST
Young Hee Lee , KAIST
Yung Yi , KAIST
Basem Shihada , KAUST
Bernard Ghanem , KAUST
David E. Keyes , KAUST
Dominik L. Michels , KAUST
Dominik Ludewig Michels , KAUST
E. N. Elnozahy , KAUST
Elmootazbellah (Mootaz) Elnozahy , KAUST
Jesper Tegnér , KAUST
Marco Canini , KAUST
Markus Hadwiger , KAUST
Panos Kalnis , KAUST
Peter Wonka , KAUST
Robert Hoehndorf , KAUST
Timothy Ravasi , KAUST
Vladimir B. Bajic , KAUST
Wolfgang Heidrich , KAUST
Xiangliang Zhang , KAUST
Xin Gao , KAUST
Daniel Andresen , Kansas State University
Doina Caragea , Kansas State University
Eugene Vasserman , Kansas State University
John Hatcliff , Kansas State University
Masaaki Mizuno , Kansas State University
Mitchell L. Neilsen , Kansas State University
Pavithra Prabhakar , Kansas State University
R. Rodrey Howell , Kansas State University
Robby , Kansas State University
Scott A. DeLoach , Kansas State University
Torben Amtoft , Kansas State University
Torben Amtoft Hansen , Kansas State University
Venkatesh Prasad Ranganath , Kansas State University
Venkatesh-Prasad Ranganath , Kansas State University
William H. Hsu , Kansas State University
Abdul Mohsen Almalawi , King Abdulaziz University
Abdullah Algarni , King Abdulaziz University
Abdullah Basuhail , King Abdulaziz University
Abdulmohsen Almalawi , King Abdulaziz University
Ahmad Alzahrani , King Abdulaziz University
Aiiad Albeshri , King Abdulaziz University
Amin Y. Noaman , King Abdulaziz University
Areej Malibari , King Abdulaziz University
Arwa A. Jamjoom , King Abdulaziz University
Emad Sami Jaha , King Abdulaziz University
Etimad A. Fadel , King Abdulaziz University
Ghadah Aldabbagh , King Abdulaziz University
Hana Abdullah Al-Nuaim , King Abdulaziz University
Imtiaz Hussain Khan , King Abdulaziz University
Iyad Katib , King Abdulaziz University
Jonathan Cazalas , King Abdulaziz University
Kamal M. Jambi , King Abdulaziz University
Kashif Munir , King Abdulaziz University
Khalid Alsubhi , King Abdulaziz University
Laila Nassef , King Abdulaziz University
Lamiaa A. Elrefaei , King Abdulaziz University
Lamya Daghestani , King Abdulaziz University
Maher Khemakhem , King Abdulaziz University
Mai Fadel , King Abdulaziz University
Manal Abdullah , King Abdulaziz University
Manar S. Ali , King Abdulaziz University
Mohamed Yehia Dahab , King Abdulaziz University
Nadine Akkari , King Abdulaziz University
Nadine Akkari Adra , King Abdulaziz University
Nawaf Alkharboush , King Abdulaziz University
Omaima Bamasak , King Abdulaziz University
Riaz Ahmed Shaikh , King Abdulaziz University
Sahar S. Shabanah , King Abdulaziz University
Sanaa Abdullah M. Sharaf , King Abdulaziz University
Vijey Thayananthan , King Abdulaziz University
Wadee Alhalabi , King Abdulaziz University
Wafaa El-Haweet , King Abdulaziz University
Wajdi Al Jedaibi , King Abdulaziz University
Waseem Ahmed , King Abdulaziz University
Azzam Mourad , Lebanese American University
Dani Tannir , Lebanese American University
Danielle Azar , Lebanese American University
Faisal N. Abu-Khzam , Lebanese American University
George E. Nasr , Lebanese American University
Haidar M. Harmanani , Lebanese American University
Iyad Ouaiss , Lebanese American University
Joe Tekli , Lebanese American University
Nashat Mansour , Lebanese American University
Ramzi A. Haraty , Lebanese American University
Samer S. Habre , Lebanese American University
Sanaa Sharafeddine , Lebanese American University
Wissam Fawaz , Lebanese American University
Anders Robertsson , Lund University
Björn Regnell , Lund University
Christin Lindholm , Lund University
Flavius Gruian , Lund University
Jörn Janneck , Lund University
Karl-Erik Årzen , Lund University
Klas Nilsson , Lund University
Krzysztof Kuchcinski , Lund University
Maria Kihl , Lund University
Martin Höst , Lund University
Martina Maggio , Lund University
Per Andersson , Lund University
Per Runeson , Lund University
Aamena Alshamsi , Masdar Institute of Science and Technology
Ammar Nayfeh , Masdar Institute of Science and Technology
Andreas Henschel , Masdar Institute of Science and Technology
Chi-Kin Chau , Masdar Institute of Science and Technology
Davor Svetinovic , Masdar Institute of Science and Technology
Ibrahim Abe M. Elfadel , Masdar Institute of Science and Technology
Ibrahim M. Elfadel , Masdar Institute of Science and Technology
Jaime Viegas , Masdar Institute of Science and Technology
Khaled M. Elbassioni , Masdar Institute of Science and Technology
Mahmoud Rasras , Masdar Institute of Science and Technology
Majid Khonji , Masdar Institute of Science and Technology
Marcus Dahlem , Masdar Institute of Science and Technology
Mihai Sanduleanu , Masdar Institute of Science and Technology
Mohamed Al Hosani , Masdar Institute of Science and Technology
Mohamed Elmoursi , Masdar Institute of Science and Technology
Sid Chi-Kin Chau , Masdar Institute of Science and Technology
Talal Rahwan , Masdar Institute of Science and Technology
Wei Lee Woon , Masdar Institute of Science and Technology
Zeyar Aung , Masdar Institute of Science and Technology
Adam Belay , Massachusetts Institute of Technology
Adam Chlipala , Massachusetts Institute of Technology
Alan S. Willsky , Massachusetts Institute of Technology
Albert R. Meyer , Massachusetts Institute of Technology
Aleksander Madry , Massachusetts Institute of Technology
Alexandre Megretski , Massachusetts Institute of Technology
Anant Agarwal , Massachusetts Institute of Technology
Andrew Lo , Massachusetts Institute of Technology
Andrew W. Lo , Massachusetts Institute of Technology
Ankur Moitra , Massachusetts Institute of Technology
Antonio Torralba 0001 , Massachusetts Institute of Technology
Armando Solar-Lezama , Massachusetts Institute of Technology
Arvind , Massachusetts Institute of Technology
Asuman E. Ozdaglar , Massachusetts Institute of Technology
Barbara Liskov , Massachusetts Institute of Technology
Berthold K. P. Horn , Massachusetts Institute of Technology
Berthold Klaus Paul Horn , Massachusetts Institute of Technology
Bill Freeman , Massachusetts Institute of Technology
Bonnie Berger , Massachusetts Institute of Technology
Bruce Tidor , Massachusetts Institute of Technology
Charles E. Leiserson , Massachusetts Institute of Technology
Collin M. Stultz , Massachusetts Institute of Technology
Collin Stultz , Massachusetts Institute of Technology
Constantinos Daskalakis , Massachusetts Institute of Technology
Daniel Jackson , Massachusetts Institute of Technology
Daniel Sánchez 0003 , Massachusetts Institute of Technology
Daniela Rus , Massachusetts Institute of Technology
David J. Perreault , Massachusetts Institute of Technology
David K. Gifford , Massachusetts Institute of Technology
David R. Karger , Massachusetts Institute of Technology
David Sontag , Massachusetts Institute of Technology
Devavrat Shah , Massachusetts Institute of Technology
Dina Katabi , Massachusetts Institute of Technology
Dirk Englund , Massachusetts Institute of Technology
Duane S. Boning , Massachusetts Institute of Technology
Elfar Adalsteinsson , Massachusetts Institute of Technology
Erich P. Ippen , Massachusetts Institute of Technology
Erik D. Demaine , Massachusetts Institute of Technology
Fadel Adib , Massachusetts Institute of Technology
Frédo Durand , Massachusetts Institute of Technology
George C. Verghese , Massachusetts Institute of Technology
Gerald J. Sussman , Massachusetts Institute of Technology
Gerald Jay Sussman , Massachusetts Institute of Technology
Gregory W. Wornell , Massachusetts Institute of Technology
Hae-Seung Lee , Massachusetts Institute of Technology
Hal Abelson , Massachusetts Institute of Technology
Hari Balakrishnan , Massachusetts Institute of Technology
Harold Abelson , Massachusetts Institute of Technology
Jacob K. White , Massachusetts Institute of Technology
Jacob White , Massachusetts Institute of Technology
Jae S. Lim , Massachusetts Institute of Technology
Jeffrey H. Lang , Massachusetts Institute of Technology
Jeffrey Lang , Massachusetts Institute of Technology
Jing Kong , Massachusetts Institute of Technology
Joel Moses , Massachusetts Institute of Technology
Joel Voldman , Massachusetts Institute of Technology
John L. Wyatt , Massachusetts Institute of Technology
John N. Tsitsiklis , Massachusetts Institute of Technology
John V. Guttag , Massachusetts Institute of Technology
Julie A. Shah , Massachusetts Institute of Technology
Justin Solomon , Massachusetts Institute of Technology
Konstantinos Daskalakis , Massachusetts Institute of Technology
Leslie Pack Kaelbling , Massachusetts Institute of Technology
Luca Daniel , Massachusetts Institute of Technology
M. Frans Kaashoek , Massachusetts Institute of Technology
Manolis Kellis , Massachusetts Institute of Technology
Martin C. Rinard , Massachusetts Institute of Technology
Martin Rinard , Massachusetts Institute of Technology
Marvin Minsky , Massachusetts Institute of Technology
Max M. Shulaker , Massachusetts Institute of Technology
Max Marcel Shulaker , Massachusetts Institute of Technology
Michael Carbin , Massachusetts Institute of Technology
Michael J. Watts , Massachusetts Institute of Technology
Mohammad Alizadeh , Massachusetts Institute of Technology
Muriel Médard , Massachusetts Institute of Technology
Nickolai Zeldovich , Massachusetts Institute of Technology
Nir Shavit , Massachusetts Institute of Technology
Pablo A. Parrilo , Massachusetts Institute of Technology
Patrick H. Winston , Massachusetts Institute of Technology
Patrick Henry Winston , Massachusetts Institute of Technology
Patrick Jaillet , Massachusetts Institute of Technology
Peter Szolovits , Massachusetts Institute of Technology
Piotr Indyk , Massachusetts Institute of Technology
Qing Hu , Massachusetts Institute of Technology
R. Ryan Williams , Massachusetts Institute of Technology
Rahul Sarpeshkar , Massachusetts Institute of Technology
Rajeev J. Ram , Massachusetts Institute of Technology
Randall Davis , Massachusetts Institute of Technology
Regina Barzilay , Massachusetts Institute of Technology
Richard Ryan Williams , Massachusetts Institute of Technology
Rob Miller , Massachusetts Institute of Technology
Robert C. Berwick , Massachusetts Institute of Technology
Robert C. Miller , Massachusetts Institute of Technology
Robert Morris , Massachusetts Institute of Technology
Ron Weiss , Massachusetts Institute of Technology
Ronald L. Rivest , Massachusetts Institute of Technology
Ronitt Rubinfeld , Massachusetts Institute of Technology
Russ Tedrake , Massachusetts Institute of Technology
Ryan Williams , Massachusetts Institute of Technology
Ryan Williams 0001 , Massachusetts Institute of Technology
Sam Madden , Massachusetts Institute of Technology
Saman P. Amarasinghe , Massachusetts Institute of Technology
Samuel Madden , Massachusetts Institute of Technology
Seth J. Teller , Massachusetts Institute of Technology
Shafi Goldwasser , Massachusetts Institute of Technology
Silvio Micali , Massachusetts Institute of Technology
Srinivas Devadas , Massachusetts Institute of Technology
Stefanie Jegelka , Massachusetts Institute of Technology
Stefanie Mueller , Massachusetts Institute of Technology
Stefanie Müller , Massachusetts Institute of Technology
Stefanie Sabrina Jegelka , Massachusetts Institute of Technology
Stephen A. Ward , Massachusetts Institute of Technology
Steven B. Leeb , Massachusetts Institute of Technology
Tamara Broderick , Massachusetts Institute of Technology
Tommi S. Jaakkola , Massachusetts Institute of Technology
Tomás Lozano-Pérez , Massachusetts Institute of Technology
V. Vinod , Massachusetts Institute of Technology
Victor W. Zue , Massachusetts Institute of Technology
Victor Zue , Massachusetts Institute of Technology
Vinod Vaikuntanathan , Massachusetts Institute of Technology
Virginia Vassilevska , Massachusetts Institute of Technology
Virginia Vassilevska Williams , Massachusetts Institute of Technology
William T. Freeman , Massachusetts Institute of Technology
William T. Peake , Massachusetts Institute of Technology
Wojciech Matusik , Massachusetts Institute of Technology
Yury Polyanskiy , Massachusetts Institute of Technology
Alan C. Wright , Massey University
Amjed Tahir , Massey University
Aruna Shekar , Massey University
Bill Wang , Massey University
Catherine McCartin , Massey University
Chris Chitty , Massey University
Don Cleland , Massey University
Donald Bailey , Massey University
Donald G. Bailey , Massey University
Ebubekir Avci , Massey University
Eva Heinrich , Massey University
Fakhrul Alam , Massey University
Faraz Hasan , Massey University
Frazer K. Noble , Massey University
Giovanni Moretti , Massey University
Giovanni S. Moretti , Massey University
Gourab Sen Gupta , Massey University
Hans W. Guesgen , Massey University
Hans Werner Guesgen , Massey University
Hans-Werner Güsgen , Massey University
Henning Köhler , Massey University
Huub H. C. Bakker , Massey University
Ibrahim Al-Bahadly , Massey University
Ibrahim H. Al-Bahadly , Massey University
Jane Goodyer , Massey University
Jens Dietrich , Massey University
Johan Potgieter , Massey University
Ken Mercer , Massey University
Kudakwashe Dube , Massey University
Liqiong Tang , Massey University
Miao Qiao , Massey University
Moi-Tin Chew , Massey University
Nigel Grigg , Massey University
Nigel P. Grigg , Massey University
Nihal P. Jayamaha , Massey University
Paul J. Lyons , Massey University
Paul John Lyons , Massey University
Rachel Blagojevic , Massey University
Rashid Rashid , Massey University
Rezaul Hasan , Massey University
Richard Haverkamp , Massey University
Rory C. Flemmer , Massey University
S. C. Mukhopadhyay , Massey University
S. M. Rezaul Hasan , Massey University
Sanjay Mathrani , Massey University
Serge Demidenko , Massey University
Stephen Marsland , Massey University
Stephen R. Marsland , Massey University
Steven Dirven , Massey University
Subhas C. Mukhopadhyay , Massey University
Subhas Chandra Mukhopadhyay , Massey University
Subhas Mukhopadhyay , Massey University
Sunil Lal , Massey University
Xiang Gui , Massey University
Xiaowen Yuan , Massey University
Bernhard Schölkopf , Max Planck Institute
Bernt Schiele , Max Planck Institute
Björn B. Brandenburg , Max Planck Institute
Björn Bernhard Brandenburg , Max Planck Institute
Christian Theobalt , Max Planck Institute
Christoph Weidenbach , Max Planck Institute
Deepak Garg 0001 , Max Planck Institute
Derek Dreyer , Max Planck Institute
Eugene W. Myers , Max Planck Institute
Eva Darulova , Max Planck Institute
Gene Myers , Max Planck Institute
Gerhard Weikum , Max Planck Institute
Hans-Peter Seidel , Max Planck Institute
Joël Ouaknine , Max Planck Institute
Krishna P. Gummadi , Max Planck Institute
Kurt Mehlhorn , Max Planck Institute
Manuel Gomez-Rodriguez , Max Planck Institute
Maria Christakis , Max Planck Institute
Martin Vingron , Max Planck Institute
Michael J. Black , Max Planck Institute
Michael Julian Black , Max Planck Institute
P. Krishna Gummadi , Max Planck Institute
Paul Francis , Max Planck Institute
Peter Druschel , Max Planck Institute
Rupak Majumdar , Max Planck Institute
Thomas Lengauer , Max Planck Institute
Viktor Vafeiadis , Max Planck Institute
Adrian R. Vetta , McGill University
Adrian Vetta , McGill University
Bettina Kemme , McGill University
Brigitte Pientka , McGill University
Bruce A. Reed , McGill University
Clark Verbrugge , McGill University
Claude Crépeau , McGill University
David Meger , McGill University
Denis Thérien , McGill University
Derek Ruths , McGill University
Doina Precup , McGill University
Gregory Dudek , McGill University
Hamed Hatami , McGill University
Jackie Chi Kit Cheung , McGill University
Jérôme Waldispühl , McGill University
Jörg Kienzle , McGill University
Kaleem Siddiqi , McGill University
Laurie J. Hendren , McGill University
Luc Devroye , McGill University
Martin P. Robillard , McGill University
Mathieu Blanchette , McGill University
Michael S. Langer , McGill University
Michael T. Hallett , McGill University
Muthucumaru Maheswaran , McGill University
Nathan Friedman , McGill University
Paul G. Kry , McGill University
Prakash Panangaden , McGill University
Xiao-Wen Chang , McGill University
Xue Liu , McGill University
Yang Cai 0001 , McGill University
Alan Wassyng , McMaster University
Antoine Deza , McMaster University
Borzoo Bonakdarpour , McMaster University
Christopher Kumar Anand , McMaster University
Douglas G. Down , McMaster University
Douglas Stebila , McMaster University
